S.No,Compound,A,B,In literature,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
1,Ac2O3,Ac,Ac,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,12","1,1","1,1",0,0,"-3,248","0,707106781",-,"0,8"
2,AcAgO3,Ac,Ag,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,95","1,1","1,93",0,"2,488353231","-2,565071429","0,758259187",-,"0,678571429"
3,AcAlO3,Ac,Al,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,54","1,1","1,61",0,"1,892894405","-1,846714286","0,918509839",-,"0,385714286"
4,AcAsO3,Ac,As,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,52","1,1","2,18",0,"1,932227032","-1,577428571","0,92807765",-,"0,371428571"
5,AcAuO3,Ac,Au,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,93","1,1","2,54",0,"2,31369847","-2,279785714","0,764767849",-,"0,664285714"
6,AcBO3,Ac,B,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,27","1,1","2,04",0,"1,624661665","-1,117357143","1,06701143",-,"0,192857143"
7,AcBaO3,Ac,Ba,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,35","1,1","0,89",0,"2,64009357","-3,806785714","0,647966941",-,"0,964285714"
8,AcBeO3,Ac,Be,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,45","1,1","1,57",0,"1,803349248","-1,676928571","0,963194102",-,"0,321428571"
9,AcBiO3,Ac,Bi,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,9","1,1","2,02",0,"2,215655462","-2,425857143","0,774743082",-,"0,642857143"
10,AcCaO3,Ac,Ca,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12",1,"1,1",1,0,"2,318139449","-3,040285714","0,74246212",-,"0,714285714"
11,AcCdO3,Ac,Cd,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,95","1,1","1,69",0,"2,286435201","-2,661071429","0,758259187",-,"0,678571429"
12,AcCeO3,Ac,Ce,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,94","1,1","1,12",0,"2,268642439","-2,868428571","0,761499611",-,"0,671428571"
13,AcCoO3,Ac,Co,FALSE,rhombohedral,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","1,88",0,"1,930310969","-1,9245","0,877787728",-,"0,45"
14,AcCrO3,Ac,Cr,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,58","1,1","1,66",0,"1,960053288","-1,909285714","0,899954085",-,"0,414285714"
15,AcCsO3,Ac,Cs,FALSE,tetragonal,element not in BV,element not in BV,"1,12","1,12","1,67","1,1","0,79",0,"3,009747218","-4,507357143","0,580426413",-,"1,192857143"
16,AcCuO3,Ac,Cu,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,68","1,1","1,9",0,"2,005573846","-2,019714286","0,856687062",-,"0,485714286"
17,AcDyO3,Ac,Dy,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,99","1,1","1,22",0,"2,255580699","-2,931642857","0,745568656",-,"0,707142857"
18,AcErO3,Ac,Er,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,89","1,1","1,24",0,"2,250676638","-2,717214286","0,77812624",-,"0,635714286"
19,AcEuO3,Ac,Eu,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,06","1,1","1,2",0,"2,354367494","-3,084142857","0,724353288",-,"0,757142857"
20,AcFeO3,Ac,Fe,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,67","1,1","1,83",0,"1,999521816","-2,027071429","0,860825647",-,"0,478571429"
21,AcGaO3,Ac,Ga,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","1,81",0,"1,974643898","-1,931857143","0,882133212",-,"0,442857143"
22,AcGdO3,Ac,Gd,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,94","1,1","1,2",0,"2,28415608","-2,836428571","0,761499611",-,"0,671428571"
23,AcGeO3,Ac,Ge,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","2,01",0,"1,899964183","-1,8725","0,877787728",-,"0,45"
24,AcHfO3,Ac,Hf,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,71","1,1","1,3",0,"2,027412322","-2,321642857","0,844506677",-,"0,507142857"
25,AcHgO3,Ac,Hg,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,11","1,1",2,0,"2,323654714","-2,867357143","0,70992394",-,"0,792857143"
26,AcHoO3,Ac,Ho,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,9","1,1","1,23",0,"2,25865608","-2,741857143","0,774743082",-,"0,642857143"
27,AcInO3,Ac,In,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,8","1,1","1,78",0,"2,147680955","-2,315428571","0,809958677",-,"0,571428571"
28,AcIrO3,Ac,Ir,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","2,2",0,"2,009082787","-1,7965","0,877787728",-,"0,45"
29,AcKO3,Ac,K,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,38","1,1","0,82",0,"2,723507129","-3,896714286","0,640974492",-,"0,985714286"
30,AcLaO3,Ac,La,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,03","1,1","1,1",0,"2,376509378","-3,062214286","0,733295921",-,"0,735714286"
31,AcLiO3,Ac,Li,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,76","1,1","0,98",0,"2,095547886","-2,552857143","0,824957911",-,"0,542857143"
32,AcLuO3,Ac,Lu,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,86","1,1","1,27",0,"2,209114963","-2,643285714","0,788455349",-,"0,614285714"
33,AcMgO3,Ac,Mg,FALSE,rhombohedral,element not in BV,element not in BV,"1,12","1,12","0,72","1,1","1,31",0,"2,046489492","-2,338285714","0,840523155",-,"0,514285714"
34,AcMnO3,Ac,Mn,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","1,55",0,"2,16999357","-2,035857143","0,882133212",-,"0,442857143"
35,AcMoO3,Ac,Mo,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","2,16",0,"1,7893","-1,791857143","0,882133212",-,"0,442857143"
36,AcNaO3,Ac,Na,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,02","1,1","0,93",0,"2,425828064","-3,109571429","0,73632607",-,"0,728571429"
