Z,Period Number,Group Number,Electronegativity eV,Covalent Radius pm,Velence Electrons,Ionization Energy eV,Electron Afinity eV,Block,Volume on A,Density kg/m3,Atomic Weight u
1,1.00,1.00,2.20,31.00,1.00,13.598,0.7550,1.00,18618.72,0.0899,1.008000
2,1.00,18.00,0.00,28.00,2.00,24.587,0.0000,1.00,37235.16,0.1785,4.002602
3,2.00,1.00,0.98,128.00,1.00,5.391,0.6180,1.00,21.54,535.0000,6.940000
4,2.00,2.00,1.57,96.00,2.00,9.323,0.0000,1.00,8.10,1848.0000,9.012183
5,2.00,13.00,2.04,84.00,3.00,8.298,0.2770,2.00,7.30,2460.0000,10.810000
6,2.00,14.00,2.55,76.00,4.00,11.261,1.5950,2.00,8.83,2260.0000,12.011000
7,2.00,15.00,3.04,71.00,5.00,14.534,0.0700,2.00,18592.46,1.2510,14.007000
8,2.00,16.00,3.44,66.00,6.00,13.618,1.4600,2.00,18591.30,1.4290,15.999000
9,2.00,17.00,3.98,57.00,7.00,17.422,3.4000,2.00,18601.17,1.6960,18.998400
10,2.00,18.00,0.00,58.00,8.00,21.565,0.0000,2.00,37232.42,0.9000,20.179700
11,3.00,1.00,0.93,166.00,2.00,5.139,0.5470,1.00,39.44,968.0000,22.989770
12,3.00,2.00,1.31,141.00,2.00,7.646,0.0000,1.00,23.22,1738.0000,24.305000
13,3.00,13.00,1.61,121.00,3.00,5.985,0.4400,2.00,16.59,2700.0000,26.981540
14,3.00,14.00,1.90,111.00,4.00,8.151,1.3850,2.00,20.02,2330.0000,28.085000
15,3.00,15.00,2.19,107.00,5.00,10.487,0.7500,2.00,28.21,1823.0000,30.973760
16,3.00,16.00,2.58,105.00,6.00,10.360,2.0700,2.00,27.16,1960.0000,32.060000
17,3.00,17.00,3.16,102.00,7.00,12.968,3.6200,2.00,18315.53,3.2140,35.450000
18,3.00,18.00,0.00,106.00,8.00,15.760,0.0000,2.00,37183.41,1.7840,39.948000
19,4.00,1.00,0.82,203.00,2.00,4.341,0.5020,1.00,75.85,856.0000,39.098300
20,4.00,2.00,1.00,176.00,2.00,6.113,0.0246,1.00,42.94,1550.0000,40.078000
21,4.00,3.00,1.36,170.00,2.00,6.562,0.1880,3.00,25.01,2985.0000,44.955910
22,4.00,4.00,1.54,160.00,2.00,6.828,0.0790,3.00,17.64,4507.0000,47.867000
23,4.00,5.00,1.63,153.00,2.00,6.746,0.5240,3.00,13.84,6110.0000,50.941500
24,4.00,6.00,1.66,139.00,2.00,6.767,0.6660,3.00,12.01,7190.0000,51.996100
25,4.00,7.00,1.55,139.00,2.00,7.434,0.0000,3.00,12.21,7470.0000,54.938040
26,4.00,8.00,1.83,132.00,2.00,7.903,0.1630,3.00,11.78,7874.0000,55.845000
27,4.00,9.00,1.88,126.00,2.00,7.881,0.6600,3.00,11.00,8900.0000,58.933190
28,4.00,10.00,1.91,124.00,2.00,7.640,1.1600,3.00,10.94,8908.0000,58.693400
29,4.00,11.00,1.90,132.00,2.00,7.727,1.2270,3.00,11.78,8960.0000,63.546000
30,4.00,12.00,1.65,122.00,2.00,9.394,0.0000,3.00,15.21,7140.0000,65.380000
31,4.00,13.00,1.81,122.00,3.00,5.999,0.3000,2.00,19.61,5904.0000,69.723000
32,4.00,14.00,2.01,120.00,4.00,7.900,1.2300,2.00,22.66,5323.0000,72.630000
33,4.00,15.00,2.18,119.00,5.00,9.815,0.8100,2.00,21.72,5727.0000,74.921600
34,4.00,16.00,2.55,120.00,6.00,9.753,2.0200,2.00,27.21,4819.0000,78.971000
35,4.00,17.00,2.96,120.00,7.00,11.814,3.3640,2.00,42.53,3120.0000,79.904000
36,4.00,18.00,3.00,116.00,8.00,14.000,0.0000,2.00,37106.62,3.7500,83.798000
37,5.00,1.00,0.82,220.00,2.00,4.177,0.4860,1.00,92.64,1532.0000,85.467800
38,5.00,2.00,0.95,195.00,2.00,5.695,0.0521,1.00,560.43,2630.0000,887.620000
39,5.00,3.00,1.22,190.00,2.00,6.220,0.3070,3.00,33.01,4472.0000,88.905840
40,5.00,4.00,1.33,175.00,2.00,6.634,0.4260,3.00,23.27,6511.0000,91.224000
41,5.00,5.00,1.60,164.00,2.00,6.759,0.8920,3.00,18.00,8570.0000,92.906370
42,5.00,6.00,2.16,154.00,2.00,7.092,0.7450,3.00,15.50,10280.0000,95.950000
43,5.00,7.00,1.90,147.00,2.00,7.280,0.5500,3.00,14.15,11500.0000,98.000000
44,5.00,8.00,2.20,146.00,2.00,7.361,1.0500,3.00,13.57,12370.0000,101.070000
45,5.00,9.00,2.28,142.00,2.00,7.459,1.1370,3.00,13.73,12450.0000,102.905500
46,5.00,10.00,2.20,139.00,2.00,8.337,0.5570,3.00,14.70,12023.0000,106.420000
47,5.00,11.00,1.93,145.00,2.00,7.576,1.3020,3.00,17.08,10490.0000,107.868200
48,5.00,12.00,1.69,144.00,2.00,8.994,0.0000,3.00,21.58,8650.0000,112.414000
49,5.00,13.00,1.78,142.00,3.00,5.786,0.3000,2.00,26.08,7310.0000,114.818000
50,5.00,14.00,1.96,139.00,4.00,7.344,1.1120,2.00,26.97,7310.0000,118.710000
51,5.00,15.00,2.05,139.00,5.00,8.640,1.0700,2.00,30.19,6697.0000,121.760000
52,5.00,16.00,2.10,138.00,6.00,9.010,1.9710,2.00,33.96,6240.0000,127.600000
53,5.00,17.00,2.66,139.00,7.00,10.451,3.0600,2.00,4.60,49440.0000,136.904500
